	Emu_protein	Hmi_protein	Mco_protein
OG0000000	EmuJ_000201800.1, EmuJ_000246100.1, EmuJ_000727200.1, EmuJ_001081800.1, EmuJ_001192700.1, EmuJ_002153700.1	HmN_000011500.1, HmN_000013900.1, HmN_000014000.1, HmN_000032600.1, HmN_000045400.1, HmN_000071700.1, HmN_000103000.1, HmN_000104100.1, HmN_000104200.1, HmN_000129200.1, HmN_000134600.1, HmN_000140800.1, HmN_000140900.1, HmN_000173200.1, HmN_000184300.1, HmN_000210800.1, HmN_000212700.1, HmN_000216900.1, HmN_000227400.1, HmN_000227600.1, HmN_000237300.1, HmN_000252500.1, HmN_000252900.1, HmN_000268500.1, HmN_000278400.1, HmN_000300400.1, HmN_000303100.1, HmN_000315700.1, HmN_000333600.1, HmN_000338700.1, HmN_000339800.1, HmN_000354600.1, HmN_000354800.1, HmN_000355000.1, HmN_000355100.1, HmN_000402100.1, HmN_000425000.1, HmN_000426900.1, HmN_000439100.1, HmN_000451000.1, HmN_000462800.1, HmN_000462900.1, HmN_000488700.1, HmN_000503900.1, HmN_000504000.1, HmN_000513700.1, HmN_000543200.1, HmN_000543300.1, HmN_000548600.1, HmN_000555400.1, HmN_000556100.1, HmN_000556200.1, HmN_000556300.1, HmN_000559900.1, HmN_000560000.1, HmN_000592700.1, HmN_000595500.1, HmN_000596900.1, HmN_000597100.1, HmN_000615700.1, HmN_000615800.1, HmN_000629400.1, HmN_000629500.1, HmN_000653000.1, HmN_000662300.1, HmN_000686700.1, HmN_000713500.1, HmN_000728100.1, HmN_000735300.1, HmN_000738600.1, HmN_000740100.1, HmN_000743600.1, HmN_000759900.1, HmN_000773800.1, HmN_000774500.1, HmN_000802200.1, HmN_000806300.1, HmN_000809300.1, HmN_000809900.1, HmN_000810900.1, HmN_000821500.1, HmN_000825900.1, HmN_000841500.1, HmN_000841600.1, HmN_000841700.1, HmN_000846400.1, HmN_000847800.1, HmN_000862300.1, HmN_000863000.1, HmN_000871700.1, HmN_000893700.1, HmN_000896300.1, HmN_000896400.1, HmN_000899800.1, HmN_000910500.1, HmN_000921900.1, HmN_000922400.1, HmN_000931500.1, HmN_000955500.1, HmN_000957300.1, HmN_000957600.1, HmN_000957700.1, HmN_000974800.1, HmN_000984500.1, HmN_000984900.1, HmN_000985000.1, HmN_001007600.1, HmN_001009100.1, HmN_001013600.1, HmN_001013700.1, HmN_001015100.1, HmN_001015300.1, HmN_002017800.1, HmN_002017900.1, HmN_002018000.1, HmN_002027200.1, HmN_002027300.1, HmN_002050700.1, HmN_002053300.1, HmN_002064300.1, HmN_002065600.1, HmN_002069600.1, HmN_002069700.1, HmN_002071200.1, HmN_002073300.1, HmN_002088200.1, HmN_002124900.1, HmN_002130300.1, HmN_002130500.1, HmN_002130900.1, HmN_002131000.1, HmN_002138200.1, HmN_002138500.1, HmN_002138600.1, HmN_002150200.1, HmN_002159200.1, HmN_002163400.1, HmN_002173200.1, HmN_002203600.1, HmN_002203700.1, HmN_002242100.1, HmN_002248900.1, HmN_002252200.1, HmN_002293000.1	MCOS_0000277701-mRNA-1, MCOS_0000630901-mRNA-1, MCOS_0000778101-mRNA-1, MCOS_0000857101-mRNA-1, MCOS_0000993501-mRNA-1
OG0000001		HmN_000003800.1, HmN_000006900.1, HmN_000007900.1, HmN_000012000.1, HmN_000049600.1, HmN_000050000.1, HmN_000060800.1, HmN_000067000.1, HmN_000088100.1, HmN_000119500.1, HmN_000130500.1, HmN_000132200.1, HmN_000135900.1, HmN_000144100.1, HmN_000144400.1, HmN_000148000.1, HmN_000169700.1, HmN_000192000.1, HmN_000192600.1, HmN_000197600.1, HmN_000198700.1, HmN_000208000.1, HmN_000211100.1, HmN_000212600.1, HmN_000221800.1, HmN_000226200.1, HmN_000232300.1, HmN_000239000.1, HmN_000267500.1, HmN_000275100.1, HmN_000275900.1, HmN_000287400.1, HmN_000290100.1, HmN_000307700.1, HmN_000309700.1, HmN_000315400.1, HmN_000328900.1, HmN_000344100.1, HmN_000344900.1, HmN_000345300.1, HmN_000358800.1, HmN_000396500.1, HmN_000396600.1, HmN_000397000.1, HmN_000398700.1, HmN_000404400.1, HmN_000405300.1, HmN_000405400.1, HmN_000413900.1, HmN_000417000.1, HmN_000440000.1, HmN_000442100.1, HmN_000448900.1, HmN_000453900.1, HmN_000456200.1, HmN_000477200.1, HmN_000481200.1, HmN_000496700.1, HmN_000507900.1, HmN_000510200.1, HmN_000512500.1, HmN_000513400.1, HmN_000534500.1, HmN_000541100.1, HmN_000558200.1, HmN_000567800.1, HmN_000593800.1, HmN_000594800.1, HmN_000625000.1, HmN_000632400.1, HmN_000643600.1, HmN_000655200.1, HmN_000665200.1, HmN_000672400.1, HmN_000696700.1, HmN_000702400.1, HmN_000722600.1, HmN_000736500.1, HmN_000736600.1, HmN_000743300.1, HmN_000744900.1, HmN_000757000.1, HmN_000770100.1, HmN_000785800.1, HmN_000793900.1, HmN_000807600.1, HmN_000827800.1, HmN_000832300.1, HmN_000839500.1, HmN_000842100.1, HmN_000855300.1, HmN_000858900.1, HmN_000860000.1, HmN_000880900.1, HmN_000887000.1, HmN_000901800.1, HmN_000903700.1, HmN_000911900.1, HmN_000917200.1, HmN_000933800.1, HmN_000967000.1, HmN_000985500.1, HmN_000995200.1, HmN_001005300.1, HmN_001022600.1, HmN_001025400.1, HmN_001026200.1, HmN_002040100.1, HmN_002046900.1, HmN_002087000.1, HmN_002101800.1, HmN_002147400.1, HmN_002151300.1, HmN_002164600.1, HmN_002164700.1, HmN_002167400.1, HmN_002191300.1, HmN_002191400.1, HmN_002250900.1, HmN_002252700.1, HmN_002252900.1, HmN_002253200.1, HmN_002253900.1, HmN_002256100.1, HmN_002259800.1, HmN_002262600.1, HmN_002276700.1, HmN_002278700.1, HmN_002283200.1, HmN_002288200.1, HmN_002289500.1, HmN_002292400.1	MCOS_0000328301-mRNA-1, MCOS_0000410401-mRNA-1, MCOS_0001013901-mRNA-1
OG0000002		HmN_000032500.1, HmN_000035600.1, HmN_000075800.1, HmN_000117500.1, HmN_000141900.1, HmN_000143200.1, HmN_000153800.1, HmN_000199300.1, HmN_000201400.1, HmN_000315500.1, HmN_000362100.1, HmN_000375500.1, HmN_000447600.1, HmN_000475700.1, HmN_000491400.1, HmN_000512300.1, HmN_000545100.1, HmN_000586500.1, HmN_000629600.1, HmN_000652100.1, HmN_000699200.1, HmN_000711100.1, HmN_000712100.1, HmN_000740500.1, HmN_000744600.1, HmN_000763000.1, HmN_000785200.1, HmN_000803900.1, HmN_000812900.1, HmN_000821400.1, HmN_000842600.1, HmN_000860100.1, HmN_000864400.1, HmN_000870300.1, HmN_000878100.1, HmN_000900000.1, HmN_000922300.1, HmN_000929900.1, HmN_000955400.1, HmN_001001400.1, HmN_001015000.1, HmN_002034100.1, HmN_002050800.1, HmN_002097400.1, HmN_002103700.1, HmN_002130400.1, HmN_002130600.1, HmN_002134400.1, HmN_002139000.1, HmN_002150100.1, HmN_002157100.1, HmN_002174600.1, HmN_002184200.1, HmN_002195800.1, HmN_002195900.1, HmN_002206300.1, HmN_002222500.1, HmN_002227100.1, HmN_002235100.1, HmN_002235500.1, HmN_002239700.1, HmN_002248100.1, HmN_002277900.1, HmN_002294700.1	MCOS_0000328001-mRNA-1, MCOS_0000415601-mRNA-1, MCOS_0000444701-mRNA-1, MCOS_0000596201-mRNA-1, MCOS_0000987601-mRNA-1, MCOS_0001021001-mRNA-1
OG0000003	EmuJ_000650820.1, EmuJ_002228500.1		MCOS_0000269101-mRNA-1, MCOS_0000316401-mRNA-1, MCOS_0000317701-mRNA-1, MCOS_0000317801-mRNA-1, MCOS_0000317901-mRNA-1, MCOS_0000351701-mRNA-1, MCOS_0000351801-mRNA-1, MCOS_0000371401-mRNA-1, MCOS_0000382201-mRNA-1, MCOS_0000400101-mRNA-1, MCOS_0000400201-mRNA-1, MCOS_0000417901-mRNA-1, MCOS_0000419801-mRNA-1, MCOS_0000423601-mRNA-1, MCOS_0000429601-mRNA-1, MCOS_0000432401-mRNA-1, MCOS_0000439201-mRNA-1, MCOS_0000439301-mRNA-1, MCOS_0000444601-mRNA-1, MCOS_0000453801-mRNA-1, MCOS_0000460301-mRNA-1, MCOS_0000463201-mRNA-1, MCOS_0000469801-mRNA-1, MCOS_0000473001-mRNA-1, MCOS_0000476101-mRNA-1, MCOS_0000476601-mRNA-1, MCOS_0000483201-mRNA-1, MCOS_0000487101-mRNA-1, MCOS_0000493001-mRNA-1, MCOS_0000501801-mRNA-1, MCOS_0000507101-mRNA-1, MCOS_0000673601-mRNA-1, MCOS_0000894801-mRNA-1, MCOS_0000895001-mRNA-1, MCOS_0000895101-mRNA-1, MCOS_0000951101-mRNA-1, MCOS_0000951201-mRNA-1, MCOS_0000967301-mRNA-1, MCOS_0000977401-mRNA-1, MCOS_0001028501-mRNA-1, MCOS_0001031201-mRNA-1, MCOS_0001032701-mRNA-1, MCOS_0001039201-mRNA-1, MCOS_0001043101-mRNA-1, MCOS_0001043201-mRNA-1
OG0000004	EmuJ_001080900.1	HmN_000128800.1, HmN_000269200.1, HmN_000269400.1, HmN_000297500.1, HmN_000369900.1, HmN_000396200.1, HmN_000396300.1, HmN_000448100.1, HmN_000572700.1, HmN_000775700.1, HmN_000897700.1, HmN_000960100.1, HmN_000960400.1, HmN_000976300.1, HmN_000976500.1, HmN_000983400.1, HmN_001004900.1, HmN_002036500.1, HmN_002036600.1, HmN_002036700.1, HmN_002036800.1, HmN_002037600.1, HmN_002037700.1, HmN_002037800.1, HmN_002041100.1, HmN_002041200.1, HmN_002046600.1, HmN_002046700.1, HmN_002054700.1, HmN_002072400.1, HmN_002078800.1, HmN_002081500.1, HmN_002083800.1, HmN_002084800.1, HmN_002098000.1, HmN_002122000.1, HmN_002163500.1, HmN_002195600.1, HmN_002243600.1, HmN_002243700.1, HmN_002248200.1	MCOS_0000306901-mRNA-1
OG0000005	EmuJ_000032900.1, EmuJ_000249600.1, EmuJ_000298000.1, EmuJ_000331600.1, EmuJ_000331700.1, EmuJ_000351000.1, EmuJ_000521000.1, EmuJ_000521700.1, EmuJ_000554100.1, EmuJ_000651400.1, EmuJ_000710100.1, EmuJ_000730000.1, EmuJ_000733200.1, EmuJ_000736500.1, EmuJ_000909900.1, EmuJ_001065400.1, EmuJ_001085100.1, EmuJ_001085400.1, EmuJ_001153600.1, EmuJ_001153700.1, EmuJ_001153900.1, EmuJ_001154000.1, EmuJ_001154200.1, EmuJ_001154300.1, EmuJ_001202400.1	HmN_000710700.1, HmN_000749200.1, HmN_000799400.1, HmN_000917000.1, HmN_002123600.1, HmN_002123700.1	MCOS_0000201301-mRNA-1, MCOS_0000482201-mRNA-1, MCOS_0000716401-mRNA-1, MCOS_0001032001-mRNA-1
OG0000006	EmuJ_000168100.1, EmuJ_000168200.1, EmuJ_000408400.1, EmuJ_000584200.1, EmuJ_000722300.1, EmuJ_001093900.1	HmN_000235200.1, HmN_000237600.1, HmN_000349700.1, HmN_000349900.1, HmN_000352700.1, HmN_000576300.1, HmN_000576400.1, HmN_000576800.1, HmN_000605600.1, HmN_000605700.1, HmN_000605800.1, HmN_000606100.1, HmN_000622300.1, HmN_000622500.1, HmN_000694900.1, HmN_000695100.1, HmN_000723500.1, HmN_000761800.1, HmN_000846700.1, HmN_001003300.1, HmN_002087600.1, HmN_002088300.1, HmN_002157000.1, HmN_002163600.1, HmN_002180000.1, HmN_002243200.1, HmN_002248600.1, HmN_002284200.1	
OG0000007	EmuJ_000040900.1, EmuJ_000042200.1, EmuJ_000042500.1, EmuJ_000042600.1, EmuJ_000042700.1, EmuJ_000339900.1, EmuJ_000413200.1, EmuJ_000588000.1, EmuJ_000886400.1, EmuJ_001070900.1, EmuJ_001124100.1	HmN_000239300.1, HmN_000264800.1, HmN_000285800.1, HmN_000574000.1, HmN_000574600.1, HmN_000574800.1, HmN_000584300.1, HmN_000584500.1, HmN_000765000.1, HmN_002216600.1	MCOS_0000351901-mRNA-1, MCOS_0000376601-mRNA-1, MCOS_0000377601-mRNA-1, MCOS_0000436001-mRNA-1, MCOS_0000553501-mRNA-1, MCOS_0000561901-mRNA-1, MCOS_0000562101-mRNA-1, MCOS_0000693901-mRNA-1, MCOS_0000748601-mRNA-1, MCOS_0000793601-mRNA-1, MCOS_0000959901-mRNA-1
OG0000008	EmuJ_000078300.1, EmuJ_000282500.1, EmuJ_000332600.1, EmuJ_000344300.1, EmuJ_000370100.1, EmuJ_000409100.1, EmuJ_000420600.1, EmuJ_000421100.1, EmuJ_000519700.1, EmuJ_000586600.1, EmuJ_000681300.1, EmuJ_000696200.1, EmuJ_000696300.1, EmuJ_000798400.1, EmuJ_000835600.1, EmuJ_000835700.1, EmuJ_000971200.1, EmuJ_000971300.1, EmuJ_001146000.1, EmuJ_001177800.1, EmuJ_001192800.1, EmuJ_002147900.1, EmuJ_002151200.1, EmuJ_002185500.1, EmuJ_002194100.1, EmuJ_002198500.1, EmuJ_002211700.1, EmuJ_002212300.1, EmuJ_002221700.1, EmuJ_002223500.1		MCOS_0000878501-mRNA-1
OG0000009	EmuJ_000041100.1, EmuJ_000069900.1, EmuJ_000202500.1, EmuJ_000202600.1, EmuJ_000569000.1, EmuJ_000617000.1, EmuJ_000672200.1, EmuJ_000955100.1, EmuJ_001081200.1, EmuJ_001126150.1	HmN_000138500.1, HmN_000268900.1, HmN_000277100.1, HmN_000383700.1, HmN_000573900.1, HmN_000792500.1, HmN_000792600.1, HmN_000979900.1, HmN_000980000.1, HmN_002180500.1	MCOS_0000026401-mRNA-1, MCOS_0000026501-mRNA-1, MCOS_0000551101-mRNA-1, MCOS_0000561501-mRNA-1, MCOS_0000606401-mRNA-1, MCOS_0000646401-mRNA-1, MCOS_0000737201-mRNA-1, MCOS_0000740801-mRNA-1, MCOS_0000837601-mRNA-1, MCOS_0000918601-mRNA-1
